Datetime;STA 5;STA 6;STA 4;STA 3;STA 1;STA 2
2021-01-06T12:38:02+01:00;null;-60;null;null;null;null
2021-01-06T12:38:03+01:00;null;-60;null;null;null;null
2021-01-06T12:38:04+01:00;null;null;null;-51;null;null
2021-01-06T12:38:05+01:00;null;null;null;-51;null;null
2021-01-06T12:38:06+01:00;null;null;null;-51;null;null
2021-01-06T12:38:07+01:00;null;null;null;-51;null;null
2021-01-06T12:38:08+01:00;null;null;null;-51;null;null
2021-01-06T12:38:09+01:00;null;null;null;-51;-60;null
2021-01-06T12:38:10+01:00;null;null;null;null;-60;-48
2021-01-06T12:38:11+01:00;null;null;null;null;-60;-48
2021-01-06T12:38:12+01:00;null;null;null;null;-60;-48
2021-01-06T12:38:13+01:00;null;null;null;null;-60;-48
2021-01-06T12:38:14+01:00;null;null;null;null;-60;-48
2021-01-06T12:38:15+01:00;null;null;null;null;null;-48
2021-01-06T12:38:24+01:00;-59;null;null;null;null;null
2021-01-06T12:38:25+01:00;-59;null;null;null;null;null
2021-01-06T12:38:26+01:00;-59;null;null;null;null;null
2021-01-06T12:38:27+01:00;-59;null;null;null;null;null
2021-01-06T12:38:28+01:00;-59;null;null;null;null;null
2021-01-06T12:38:29+01:00;-60;null;null;null;null;null
2021-01-06T12:38:30+01:00;-60;null;null;null;null;null
2021-01-06T12:38:31+01:00;-60;null;null;null;null;null
2021-01-06T12:38:32+01:00;-60;null;null;null;null;null
2021-01-06T12:38:33+01:00;-60;null;null;null;null;null
2021-01-06T12:38:34+01:00;-60;null;null;null;null;null
2021-01-06T12:38:48+01:00;null;null;-57;null;null;null
2021-01-06T12:38:49+01:00;null;null;-57;null;null;null
2021-01-06T12:38:50+01:00;null;null;-57;null;null;null
2021-01-06T12:38:51+01:00;null;null;-57;null;null;null
2021-01-06T12:38:52+01:00;null;null;-57;null;null;null
2021-01-06T12:38:53+01:00;null;null;-57;null;null;null
2021-01-06T12:38:55+01:00;null;-60;null;null;null;null
2021-01-06T12:38:56+01:00;null;-60;null;null;null;null
2021-01-06T12:38:57+01:00;null;-60;null;null;null;null
2021-01-06T12:38:58+01:00;null;-60;null;null;null;null
2021-01-06T12:38:59+01:00;null;-60;null;null;null;null
2021-01-06T12:39:00+01:00;null;-60;null;null;null;null
2021-01-06T12:39:01+01:00;null;-60;null;null;null;null
2021-01-06T12:39:02+01:00;null;-60;null;null;null;null
2021-01-06T12:39:03+01:00;null;-60;null;null;null;null
2021-01-06T12:39:04+01:00;null;null;null;-51;null;null
2021-01-06T12:39:05+01:00;null;null;null;-51;null;null
2021-01-06T12:39:06+01:00;null;null;null;-51;null;null
2021-01-06T12:39:07+01:00;null;null;null;-51;null;null
2021-01-06T12:39:08+01:00;null;null;null;-51;null;null
2021-01-06T12:39:09+01:00;null;null;null;-51;-61;null
2021-01-06T12:39:10+01:00;null;null;null;null;-61;-47
2021-01-06T12:39:11+01:00;null;null;null;null;-61;-47
2021-01-06T12:39:12+01:00;null;null;null;null;-61;-47
2021-01-06T12:39:13+01:00;null;null;null;null;-61;-47
2021-01-06T12:39:14+01:00;null;null;null;null;-61;-47
2021-01-06T12:39:15+01:00;null;null;null;null;null;-47
2021-01-06T12:39:48+01:00;null;null;-57;null;null;null
2021-01-06T12:39:49+01:00;null;null;-57;null;null;null
2021-01-06T12:39:50+01:00;null;null;-57;null;null;null
2021-01-06T12:39:51+01:00;null;null;-57;null;null;null
2021-01-06T12:39:52+01:00;null;null;-57;null;null;null
2021-01-06T12:39:53+01:00;null;null;-57;null;null;null
2021-01-06T12:39:55+01:00;null;-60;null;null;null;null
2021-01-06T12:39:56+01:00;null;-60;null;null;null;null
2021-01-06T12:39:57+01:00;null;-60;null;null;null;null
2021-01-06T12:39:58+01:00;null;-60;null;null;null;null
2021-01-06T12:39:59+01:00;null;-60;null;null;null;null
2021-01-06T12:40:00+01:00;null;-60;null;null;null;null
2021-01-06T12:40:01+01:00;null;-60;null;null;null;null
2021-01-06T12:40:02+01:00;null;-60;null;null;null;null
2021-01-06T12:40:03+01:00;null;-60;null;null;null;null
2021-01-06T12:40:04+01:00;null;null;null;-51;null;null
2021-01-06T12:40:05+01:00;null;null;null;-51;null;null
2021-01-06T12:40:06+01:00;null;null;null;-51;null;null
2021-01-06T12:40:07+01:00;null;null;null;-51;null;null
2021-01-06T12:40:08+01:00;null;null;null;-51;null;null
2021-01-06T12:40:09+01:00;null;null;null;-51;-60;null
2021-01-06T12:40:10+01:00;null;null;null;null;-60;-47
2021-01-06T12:40:11+01:00;null;null;null;null;-60;-47
2021-01-06T12:40:12+01:00;null;null;null;null;-60;-47
2021-01-06T12:40:13+01:00;null;null;null;null;-60;-47
2021-01-06T12:40:14+01:00;null;null;null;null;-60;-47
2021-01-06T12:40:15+01:00;null;null;null;null;null;-47
2021-01-06T12:40:46+01:00;null;-64;null;null;null;null
2021-01-06T12:40:47+01:00;null;-64;null;null;null;null
2021-01-06T12:40:48+01:00;null;-64;null;null;null;null
2021-01-06T12:40:49+01:00;null;-64;-57;null;null;null
2021-01-06T12:40:50+01:00;null;-64;-57;null;null;null
2021-01-06T12:40:51+01:00;null;-64;-57;null;null;null
2021-01-06T12:40:52+01:00;null;-64;-57;null;null;null
2021-01-06T12:40:53+01:00;null;-64;-57;null;null;null
2021-01-06T12:40:54+01:00;null;-64;null;null;null;null
2021-01-06T12:40:56+01:00;null;-63;null;null;null;null
2021-01-06T12:40:58+01:00;null;-62;null;null;null;null
2021-01-06T12:40:59+01:00;null;-61;null;null;null;null
2021-01-06T12:41:00+01:00;null;-61;null;null;null;null
2021-01-06T12:41:01+01:00;null;-61;null;null;null;null
2021-01-06T12:41:02+01:00;null;-61;null;null;null;null
2021-01-06T12:41:03+01:00;null;-61;null;null;null;null
2021-01-06T12:41:04+01:00;null;null;null;-51;null;null
2021-01-06T12:41:05+01:00;null;null;null;-51;null;null
2021-01-06T12:41:06+01:00;null;null;null;-51;null;null
2021-01-06T12:41:07+01:00;null;null;null;-51;null;null
2021-01-06T12:41:08+01:00;null;null;null;-51;null;null
2021-01-06T12:41:09+01:00;null;null;null;-51;-60;null
2021-01-06T12:41:10+01:00;null;null;null;null;-60;-48
2021-01-06T12:41:11+01:00;null;null;null;null;-60;-48
2021-01-06T12:41:12+01:00;null;null;null;null;-60;-48
2021-01-06T12:41:13+01:00;null;null;null;null;-60;-48
2021-01-06T12:41:14+01:00;null;null;null;null;-60;-48
2021-01-06T12:41:15+01:00;null;null;null;null;null;-48
2021-01-06T12:41:46+01:00;-59;null;null;null;null;null
2021-01-06T12:41:47+01:00;-59;null;null;null;null;null
2021-01-06T12:41:48+01:00;-60;null;-57;null;null;null
2021-01-06T12:41:49+01:00;-59;null;-57;null;null;null
2021-01-06T12:41:50+01:00;-59;null;-57;null;null;null
2021-01-06T12:41:51+01:00;-59;null;-57;null;null;null
2021-01-06T12:41:52+01:00;-59;null;-57;null;null;null
2021-01-06T12:41:53+01:00;-59;null;-57;null;null;null
2021-01-06T12:41:54+01:00;-59;null;null;null;null;null
2021-01-06T12:41:56+01:00;-59;-60;null;null;null;null
2021-01-06T12:41:57+01:00;null;-60;null;null;null;null
2021-01-06T12:41:58+01:00;null;-60;null;null;null;null
2021-01-06T12:41:59+01:00;null;-60;null;null;null;null
2021-01-06T12:42:00+01:00;null;-60;null;null;null;null
2021-01-06T12:42:01+01:00;null;-60;null;null;null;null
2021-01-06T12:42:02+01:00;null;-60;null;null;null;null
2021-01-06T12:42:03+01:00;null;-60;null;null;null;null
2021-01-06T12:42:04+01:00;null;null;null;-51;null;null
2021-01-06T12:42:05+01:00;null;null;null;-51;null;null
2021-01-06T12:42:06+01:00;null;null;null;-51;null;null
2021-01-06T12:42:07+01:00;null;null;null;-51;null;null
2021-01-06T12:42:08+01:00;null;null;null;-51;null;null
2021-01-06T12:42:09+01:00;null;null;null;-51;-60;null
2021-01-06T12:42:10+01:00;null;null;null;null;-60;-48
2021-01-06T12:42:11+01:00;null;null;null;null;-60;-48
2021-01-06T12:42:12+01:00;null;null;null;null;-60;-48
2021-01-06T12:42:13+01:00;null;null;null;null;-60;-48
2021-01-06T12:42:14+01:00;null;null;null;null;-60;-48
2021-01-06T12:42:15+01:00;null;null;null;null;null;-48
2021-01-06T12:42:48+01:00;null;null;-57;null;null;null
2021-01-06T12:42:49+01:00;null;null;-57;null;null;null
2021-01-06T12:42:50+01:00;null;null;-57;null;null;null
2021-01-06T12:42:51+01:00;null;null;-57;null;null;null
2021-01-06T12:42:52+01:00;null;null;-57;null;null;null
2021-01-06T12:42:53+01:00;null;null;-57;null;null;null
2021-01-06T12:42:55+01:00;null;-61;null;null;null;null
2021-01-06T12:42:56+01:00;null;-60;null;null;null;null
2021-01-06T12:42:57+01:00;null;-60;null;null;null;null
2021-01-06T12:42:58+01:00;null;-60;null;null;null;null
2021-01-06T12:42:59+01:00;null;-60;null;null;null;null
2021-01-06T12:43:00+01:00;null;-60;null;null;null;null
2021-01-06T12:43:01+01:00;null;-60;null;null;null;null
2021-01-06T12:43:02+01:00;null;-60;null;null;null;null
2021-01-06T12:43:03+01:00;null;-60;null;null;null;null
2021-01-06T12:43:04+01:00;null;null;null;-51;null;null
2021-01-06T12:43:05+01:00;null;null;null;-51;null;null
2021-01-06T12:43:06+01:00;null;null;null;-51;null;null
2021-01-06T12:43:07+01:00;null;null;null;-51;null;null
2021-01-06T12:43:08+01:00;null;null;null;-51;null;null
2021-01-06T12:43:09+01:00;null;null;null;-51;-60;null
2021-01-06T12:43:10+01:00;null;null;null;null;-60;-47
2021-01-06T12:43:11+01:00;null;null;null;null;-60;-47
2021-01-06T12:43:12+01:00;null;null;null;null;-60;-47
2021-01-06T12:43:13+01:00;null;null;null;null;-60;-47
2021-01-06T12:43:14+01:00;null;null;null;null;-60;-47
2021-01-06T12:43:15+01:00;null;null;null;null;null;-47
2021-01-06T12:43:52+01:00;null;null;-57;null;null;null
2021-01-06T12:43:53+01:00;null;null;-57;null;null;null
2021-01-06T12:43:54+01:00;null;null;-57;null;null;null
2021-01-06T12:43:55+01:00;null;null;-57;null;null;null
2021-01-06T12:43:56+01:00;null;null;-57;null;null;null
2021-01-06T12:43:57+01:00;null;null;-57;null;null;null
2021-01-06T12:44:00+01:00;null;-60;null;null;null;null
2021-01-06T12:44:02+01:00;null;-61;null;null;null;null
2021-01-06T12:44:03+01:00;null;-60;null;null;null;null
2021-01-06T12:44:05+01:00;null;-60;null;null;null;null
2021-01-06T12:44:06+01:00;null;-60;null;null;null;null
2021-01-06T12:44:09+01:00;null;-60;null;null;null;null
2021-01-06T12:44:11+01:00;null;-60;null;null;null;null
2021-01-06T12:44:12+01:00;null;-60;null;null;null;null
2021-01-06T12:44:14+01:00;null;-60;null;null;null;null
2021-01-06T12:44:16+01:00;null;null;null;-51;null;null
2021-01-06T12:44:17+01:00;null;null;null;-51;null;null
2021-01-06T12:44:19+01:00;null;null;null;-51;null;null
2021-01-06T12:44:21+01:00;null;null;null;-51;null;null
2021-01-06T12:44:22+01:00;null;null;null;-51;null;null
2021-01-06T12:44:24+01:00;-58;null;null;-51;-60;null
2021-01-06T12:44:26+01:00;-59;null;null;null;-60;-48
2021-01-06T12:44:27+01:00;-59;null;null;null;-60;-48
2021-01-06T12:44:28+01:00;-59;null;null;null;-60;-48
2021-01-06T12:44:30+01:00;-59;null;null;null;-60;-48
2021-01-06T12:44:32+01:00;-59;null;null;null;null;-48
2021-01-06T12:44:33+01:00;-59;null;null;null;null;null
2021-01-06T12:44:35+01:00;-59;null;null;null;null;null
2021-01-06T12:44:36+01:00;-59;null;null;null;null;null
2021-01-06T12:44:37+01:00;-59;null;null;null;null;null
2021-01-06T12:44:40+01:00;-60;null;null;null;null;null
2021-01-06T12:44:41+01:00;-60;null;null;null;null;null
2021-01-06T12:44:43+01:00;-60;null;null;null;null;null
2021-01-06T12:44:44+01:00;-60;null;null;null;null;null
2021-01-06T12:44:45+01:00;-60;null;null;null;null;null
2021-01-06T12:44:46+01:00;-60;null;null;null;null;null
2021-01-06T12:44:47+01:00;-60;null;null;null;null;null
2021-01-06T12:44:48+01:00;-60;null;null;null;null;null
2021-01-06T12:45:20+01:00;null;null;-57;null;null;null
