#;approach;queueing delay;slice
201;Gómez et al.;null;QoS 1
202;Gómez et al.;null;QoS 1
203;Gómez et al.;null;QoS 1
204;Gómez et al.;null;QoS 1
205;Gómez et al.;null;QoS 1
206;Gómez et al.;null;QoS 1
207;Gómez et al.;null;QoS 1
208;Gómez et al.;null;QoS 1
209;Gómez et al.;null;QoS 1
210;Gómez et al.;null;QoS 1
211;Gómez et al.;null;QoS 1
212;Gómez et al.;null;QoS 1
213;Gómez et al.;null;QoS 1
214;Gómez et al.;null;QoS 1
215;Gómez et al.;null;QoS 1
216;Gómez et al.;null;QoS 1
217;Gómez et al.;null;QoS 1
218;Gómez et al.;null;QoS 1
219;Gómez et al.;null;QoS 1
220;Gómez et al.;null;QoS 1
221;Gómez et al.;null;QoS 1
222;Gómez et al.;null;QoS 1
223;Gómez et al.;null;QoS 1
224;Gómez et al.;null;QoS 1
225;Gómez et al.;null;QoS 1
226;Gómez et al.;null;QoS 1
227;Gómez et al.;null;QoS 1
228;Gómez et al.;null;QoS 1
229;Gómez et al.;null;QoS 1
230;Gómez et al.;null;QoS 1
231;Gómez et al.;null;QoS 1
232;Gómez et al.;null;QoS 1
233;Gómez et al.;null;QoS 1
234;Gómez et al.;null;QoS 1
235;Gómez et al.;null;QoS 1
236;Gómez et al.;null;QoS 1
237;Gómez et al.;null;QoS 1
238;Gómez et al.;null;QoS 1
239;Gómez et al.;null;QoS 1
240;Gómez et al.;351.33;QoS 1
241;Gómez et al.;593.225;QoS 1
242;Gómez et al.;780.52;QoS 1
243;Gómez et al.;715.355;QoS 1
244;Gómez et al.;654.662;QoS 1
245;Gómez et al.;690.88;QoS 1
246;Gómez et al.;null;QoS 1
247;Gómez et al.;675.958;QoS 1
248;Gómez et al.;645.739;QoS 1
249;Gómez et al.;735.64;QoS 1
250;Gómez et al.;null;QoS 1
251;Gómez et al.;710.669;QoS 1
252;Gómez et al.;702.753;QoS 1
253;Gómez et al.;692.497;QoS 1
254;Gómez et al.;719.887;QoS 1
255;Gómez et al.;745.184;QoS 1
256;Gómez et al.;null;QoS 1
257;Gómez et al.;null;QoS 1
258;Gómez et al.;null;QoS 1
259;Gómez et al.;null;QoS 1
260;Gómez et al.;null;QoS 1
261;Gómez et al.;null;QoS 1
262;Gómez et al.;null;QoS 1
263;Gómez et al.;null;QoS 1
264;Gómez et al.;null;QoS 1
265;Gómez et al.;null;QoS 1
266;Gómez et al.;null;QoS 1
267;Gómez et al.;null;QoS 1
268;Gómez et al.;null;QoS 1
269;Gómez et al.;null;QoS 1
270;Gómez et al.;null;QoS 1
271;Gómez et al.;null;QoS 1
272;Gómez et al.;null;QoS 1
273;Gómez et al.;null;QoS 1
274;Gómez et al.;null;QoS 1
275;Gómez et al.;null;QoS 1
276;Gómez et al.;null;QoS 1
277;Gómez et al.;null;QoS 1
278;Gómez et al.;null;QoS 1
279;Gómez et al.;null;QoS 1
280;Gómez et al.;null;QoS 1
281;Gómez et al.;null;QoS 1
282;Gómez et al.;null;QoS 1
283;Gómez et al.;null;QoS 1
284;Gómez et al.;null;QoS 1
285;Gómez et al.;null;QoS 1
286;Gómez et al.;null;QoS 1
287;Gómez et al.;null;QoS 1
288;Gómez et al.;null;QoS 1
289;Gómez et al.;null;QoS 1
290;Gómez et al.;null;QoS 1
291;Gómez et al.;null;QoS 1
292;Gómez et al.;null;QoS 1
293;Gómez et al.;null;QoS 1
294;Gómez et al.;null;QoS 1
295;Gómez et al.;null;QoS 1
296;Gómez et al.;null;QoS 1
297;Gómez et al.;null;QoS 1
298;Gómez et al.;null;QoS 1
299;Gómez et al.;null;QoS 1
300;Gómez et al.;null;QoS 1
301;Gómez et al.;363.113;QoS 1
302;Gómez et al.;898.236;QoS 1
303;Gómez et al.;1777.0729999999999;QoS 1
304;Gómez et al.;2672.286;QoS 1
305;Gómez et al.;4257.146;QoS 1
306;Gómez et al.;null;QoS 1
307;Gómez et al.;4380.275;QoS 1
308;Gómez et al.;4417.933;QoS 1
309;Gómez et al.;4401.4130000000005;QoS 1
310;Gómez et al.;4368.706;QoS 1
311;Gómez et al.;4156.5380000000005;QoS 1
312;Gómez et al.;4061.84;QoS 1
313;Gómez et al.;4065.297;QoS 1
314;Gómez et al.;4045.26;QoS 1
315;Gómez et al.;4034.038;QoS 1
316;Gómez et al.;null;QoS 1
317;Gómez et al.;null;QoS 1
318;Gómez et al.;null;QoS 1
319;Gómez et al.;null;QoS 1
320;Gómez et al.;null;QoS 1
321;Gómez et al.;null;QoS 1
322;Gómez et al.;null;QoS 1
323;Gómez et al.;null;QoS 1
324;Gómez et al.;null;QoS 1
325;Gómez et al.;null;QoS 1
326;Gómez et al.;null;QoS 1
327;Gómez et al.;null;QoS 1
328;Gómez et al.;null;QoS 1
329;Gómez et al.;null;QoS 1
330;Gómez et al.;null;QoS 1
331;Gómez et al.;null;QoS 1
332;Gómez et al.;null;QoS 1
333;Gómez et al.;null;QoS 1
334;Gómez et al.;null;QoS 1
335;Gómez et al.;null;QoS 1
336;Gómez et al.;null;QoS 1
337;Gómez et al.;null;QoS 1
338;Gómez et al.;null;QoS 1
339;Gómez et al.;null;QoS 1
340;Gómez et al.;null;QoS 1
341;Gómez et al.;null;QoS 1
342;Gómez et al.;null;QoS 1
343;Gómez et al.;null;QoS 1
344;Gómez et al.;null;QoS 1
345;Gómez et al.;null;QoS 1
346;Gómez et al.;null;QoS 1
347;Gómez et al.;null;QoS 1
348;Gómez et al.;null;QoS 1
349;Gómez et al.;null;QoS 1
350;Gómez et al.;null;QoS 1
351;Gómez et al.;null;QoS 1
352;Gómez et al.;null;QoS 1
353;Gómez et al.;null;QoS 1
354;Gómez et al.;null;QoS 1
355;Gómez et al.;null;QoS 1
356;Gómez et al.;null;QoS 1
357;Gómez et al.;null;QoS 1
358;Gómez et al.;null;QoS 1
359;Gómez et al.;null;QoS 1
360;Gómez et al.;null;QoS 1
361;Gómez et al.;null;QoS 1
362;Gómez et al.;null;QoS 1
363;Gómez et al.;null;QoS 1
364;Gómez et al.;null;QoS 1
365;Gómez et al.;null;QoS 1
366;Gómez et al.;null;QoS 1
367;Gómez et al.;null;QoS 1
368;Gómez et al.;null;QoS 1
369;Gómez et al.;null;QoS 1
370;Gómez et al.;null;QoS 1
371;Gómez et al.;null;QoS 1
372;Gómez et al.;null;QoS 1
373;Gómez et al.;null;QoS 1
374;Gómez et al.;null;QoS 1
375;Gómez et al.;null;QoS 1
376;Gómez et al.;null;QoS 1
377;Gómez et al.;null;QoS 1
378;Gómez et al.;null;QoS 1
379;Gómez et al.;110.858;QoS 1
380;Gómez et al.;null;QoS 1
381;Gómez et al.;909.332;QoS 1
382;Gómez et al.;814.981;QoS 1
383;Gómez et al.;661.742;QoS 1
384;Gómez et al.;null;QoS 1
385;Gómez et al.;690.004;QoS 1
386;Gómez et al.;717.106;QoS 1
387;Gómez et al.;735.993;QoS 1
388;Gómez et al.;722.601;QoS 1
389;Gómez et al.;709.038;QoS 1
390;Gómez et al.;740.756;QoS 1
391;Gómez et al.;763.929;QoS 1
392;Gómez et al.;809.657;QoS 1
393;Gómez et al.;867.858;QoS 1
394;Gómez et al.;null;QoS 1
395;Gómez et al.;858.107;QoS 1
396;Gómez et al.;null;QoS 1
397;Gómez et al.;null;QoS 1
398;Gómez et al.;null;QoS 1
399;Gómez et al.;null;QoS 1
400;Gómez et al.;null;QoS 1
401;Gómez et al.;null;QoS 1
402;Gómez et al.;null;QoS 1
403;Gómez et al.;null;QoS 1
404;Gómez et al.;null;QoS 1
405;Gómez et al.;null;QoS 1
406;Gómez et al.;null;QoS 1
407;Gómez et al.;null;QoS 1
408;Gómez et al.;null;QoS 1
409;Gómez et al.;null;QoS 1
410;Gómez et al.;null;QoS 1
411;Gómez et al.;null;QoS 1
412;Gómez et al.;null;QoS 1
413;Gómez et al.;null;QoS 1
414;Gómez et al.;null;QoS 1
415;Gómez et al.;null;QoS 1
416;Gómez et al.;null;QoS 1
417;Gómez et al.;null;QoS 1
418;Gómez et al.;null;QoS 1
419;Gómez et al.;null;QoS 1
420;Gómez et al.;null;QoS 1
421;Gómez et al.;null;QoS 1
422;Gómez et al.;null;QoS 1
423;Gómez et al.;null;QoS 1
424;Gómez et al.;null;QoS 1
425;Gómez et al.;null;QoS 1
426;Gómez et al.;null;QoS 1
427;Gómez et al.;null;QoS 1
428;Gómez et al.;null;QoS 1
429;Gómez et al.;null;QoS 1
430;Gómez et al.;null;QoS 1
431;Gómez et al.;null;QoS 1
432;Gómez et al.;null;QoS 1
433;Gómez et al.;null;QoS 1
434;Gómez et al.;null;QoS 1
435;Gómez et al.;null;QoS 1
436;Gómez et al.;null;QoS 1
437;Gómez et al.;null;QoS 1
438;Gómez et al.;null;QoS 1
439;Gómez et al.;116.329;QoS 1
440;Gómez et al.;635.15;QoS 1
441;Gómez et al.;null;QoS 1
442;Gómez et al.;600.069;QoS 1
443;Gómez et al.;null;QoS 1
444;Gómez et al.;615.075;QoS 1
445;Gómez et al.;635.606;QoS 1
446;Gómez et al.;null;QoS 1
447;Gómez et al.;611.696;QoS 1
448;Gómez et al.;623.825;QoS 1
449;Gómez et al.;625.061;QoS 1
450;Gómez et al.;616.755;QoS 1
451;Gómez et al.;626.264;QoS 1
452;Gómez et al.;644.038;QoS 1
453;Gómez et al.;755.126;QoS 1
454;Gómez et al.;null;QoS 1
455;Gómez et al.;750.68;QoS 1
456;Gómez et al.;null;QoS 1
457;Gómez et al.;null;QoS 1
458;Gómez et al.;null;QoS 1
459;Gómez et al.;null;QoS 1
460;Gómez et al.;null;QoS 1
461;Gómez et al.;null;QoS 1
462;Gómez et al.;null;QoS 1
463;Gómez et al.;null;QoS 1
464;Gómez et al.;null;QoS 1
465;Gómez et al.;null;QoS 1
466;Gómez et al.;null;QoS 1
467;Gómez et al.;null;QoS 1
468;Gómez et al.;null;QoS 1
469;Gómez et al.;null;QoS 1
470;Gómez et al.;null;QoS 1
471;Gómez et al.;null;QoS 1
472;Gómez et al.;null;QoS 1
473;Gómez et al.;null;QoS 1
474;Gómez et al.;null;QoS 1
475;Gómez et al.;null;QoS 1
476;Gómez et al.;null;QoS 1
477;Gómez et al.;null;QoS 1
478;Gómez et al.;null;QoS 1
479;Gómez et al.;null;QoS 1
480;Gómez et al.;null;QoS 1
481;Gómez et al.;null;QoS 1
482;Gómez et al.;null;QoS 1
483;Gómez et al.;null;QoS 1
484;Gómez et al.;null;QoS 1
485;Gómez et al.;null;QoS 1
486;Gómez et al.;null;QoS 1
487;Gómez et al.;null;QoS 1
488;Gómez et al.;null;QoS 1
489;Gómez et al.;null;QoS 1
490;Gómez et al.;null;QoS 1
491;Gómez et al.;null;QoS 1
492;Gómez et al.;null;QoS 1
493;Gómez et al.;null;QoS 1
494;Gómez et al.;null;QoS 1
495;Gómez et al.;null;QoS 1
496;Gómez et al.;null;QoS 1
497;Gómez et al.;null;QoS 1
498;Gómez et al.;null;QoS 1
499;Gómez et al.;null;QoS 1
500;Gómez et al.;85.974;QoS 1
501;Gómez et al.;88.58;QoS 1
502;Gómez et al.;324.126;QoS 1
503;Gómez et al.;null;QoS 1
504;Gómez et al.;622.962;QoS 1
505;Gómez et al.;592.014;QoS 1
506;Gómez et al.;null;QoS 1
507;Gómez et al.;615.791;QoS 1
508;Gómez et al.;605.386;QoS 1
509;Gómez et al.;609.233;QoS 1
510;Gómez et al.;616.895;QoS 1
511;Gómez et al.;628.315;QoS 1
512;Gómez et al.;632.029;QoS 1
513;Gómez et al.;677.278;QoS 1
514;Gómez et al.;687.455;QoS 1
515;Gómez et al.;694.172;QoS 1
516;Gómez et al.;null;QoS 1
517;Gómez et al.;null;QoS 1
518;Gómez et al.;null;QoS 1
519;Gómez et al.;null;QoS 1
520;Gómez et al.;null;QoS 1
521;Gómez et al.;null;QoS 1
522;Gómez et al.;null;QoS 1
523;Gómez et al.;null;QoS 1
524;Gómez et al.;null;QoS 1
525;Gómez et al.;null;QoS 1
526;Gómez et al.;null;QoS 1
527;Gómez et al.;null;QoS 1
528;Gómez et al.;null;QoS 1
529;Gómez et al.;null;QoS 1
530;Gómez et al.;null;QoS 1
531;Gómez et al.;null;QoS 1
532;Gómez et al.;null;QoS 1
533;Gómez et al.;null;QoS 1
534;Gómez et al.;null;QoS 1
535;Gómez et al.;null;QoS 1
536;Gómez et al.;null;QoS 1
537;Gómez et al.;null;QoS 1
538;Gómez et al.;null;QoS 1
539;Gómez et al.;null;QoS 1
540;Gómez et al.;null;QoS 1
541;Gómez et al.;null;QoS 1
542;Gómez et al.;null;QoS 1
543;Gómez et al.;null;QoS 1
544;Gómez et al.;null;QoS 1
545;Gómez et al.;null;QoS 1
546;Gómez et al.;null;QoS 1
547;Gómez et al.;null;QoS 1
548;Gómez et al.;null;QoS 1
549;Gómez et al.;null;QoS 1
550;Gómez et al.;null;QoS 1
551;Gómez et al.;null;QoS 1
552;Gómez et al.;null;QoS 1
553;Gómez et al.;null;QoS 1
554;Gómez et al.;null;QoS 1
555;Gómez et al.;null;QoS 1
556;Gómez et al.;null;QoS 1
557;Gómez et al.;null;QoS 1
558;Gómez et al.;null;QoS 1
559;Gómez et al.;null;QoS 1
560;Gómez et al.;null;QoS 1
561;Gómez et al.;null;QoS 1
562;Gómez et al.;null;QoS 1
563;Gómez et al.;null;QoS 1
564;Gómez et al.;null;QoS 1
565;Gómez et al.;null;QoS 1
566;Gómez et al.;null;QoS 1
567;Gómez et al.;null;QoS 1
568;Gómez et al.;null;QoS 1
569;Gómez et al.;null;QoS 1
570;Gómez et al.;null;QoS 1
571;Gómez et al.;null;QoS 1
572;Gómez et al.;null;QoS 1
573;Gómez et al.;null;QoS 1
574;Gómez et al.;null;QoS 1
575;Gómez et al.;null;QoS 1
576;Gómez et al.;null;QoS 1
577;Gómez et al.;null;QoS 1
578;Gómez et al.;null;QoS 1
579;Gómez et al.;null;QoS 1
580;Gómez et al.;null;QoS 1
581;Gómez et al.;null;QoS 1
582;Gómez et al.;null;QoS 1
583;Gómez et al.;null;QoS 1
584;Gómez et al.;null;QoS 1
585;Gómez et al.;null;QoS 1
586;Gómez et al.;null;QoS 1
587;Gómez et al.;null;QoS 1
588;Gómez et al.;null;QoS 1
589;Gómez et al.;null;QoS 1
590;Gómez et al.;null;QoS 1
591;Gómez et al.;null;QoS 1
592;Gómez et al.;null;QoS 1
593;Gómez et al.;null;QoS 1
594;Gómez et al.;null;QoS 1
595;Gómez et al.;null;QoS 1
596;Gómez et al.;null;QoS 1
597;Gómez et al.;null;QoS 1
598;Gómez et al.;null;QoS 1
599;Gómez et al.;null;QoS 1
600;Gómez et al.;null;QoS 1
601;Gómez et al.;null;QoS 1
602;Gómez et al.;null;QoS 1
603;Gómez et al.;null;QoS 1
604;Gómez et al.;null;QoS 1
605;Gómez et al.;null;QoS 1
606;Gómez et al.;null;QoS 1
607;Gómez et al.;null;QoS 1
608;Gómez et al.;null;QoS 1
609;Gómez et al.;null;QoS 1
610;Gómez et al.;null;QoS 1
611;Gómez et al.;null;QoS 1
612;Gómez et al.;null;QoS 1
613;Gómez et al.;null;QoS 1
614;Gómez et al.;null;QoS 1
615;Gómez et al.;null;QoS 1
616;Gómez et al.;null;QoS 1
617;Gómez et al.;null;QoS 1
618;Gómez et al.;null;QoS 1
619;Gómez et al.;null;QoS 1
620;Gómez et al.;null;QoS 1
621;Gómez et al.;null;QoS 1
622;Gómez et al.;null;QoS 1
623;Gómez et al.;null;QoS 1
624;Gómez et al.;null;QoS 1
625;Gómez et al.;null;QoS 1
626;Gómez et al.;null;QoS 1
627;Gómez et al.;null;QoS 1
628;Gómez et al.;null;QoS 1
629;Gómez et al.;null;QoS 1
630;Gómez et al.;null;QoS 1
631;Gómez et al.;null;QoS 1
632;Gómez et al.;null;QoS 1
633;Gómez et al.;null;QoS 1
634;Gómez et al.;null;QoS 1
635;Gómez et al.;null;QoS 1
636;Gómez et al.;null;QoS 1
637;Gómez et al.;null;QoS 1
638;Gómez et al.;null;QoS 1
639;Gómez et al.;null;QoS 1
640;Gómez et al.;null;QoS 1
641;Gómez et al.;null;QoS 1
642;Gómez et al.;null;QoS 1
643;Gómez et al.;null;QoS 1
644;Gómez et al.;null;QoS 1
645;Gómez et al.;null;QoS 1
646;Gómez et al.;null;QoS 1
647;Gómez et al.;null;QoS 1
648;Gómez et al.;null;QoS 1
649;Gómez et al.;null;QoS 1
650;Gómez et al.;null;QoS 1
651;Gómez et al.;null;QoS 1
652;Gómez et al.;null;QoS 1
653;Gómez et al.;null;QoS 1
654;Gómez et al.;null;QoS 1
655;Gómez et al.;null;QoS 1
656;Gómez et al.;null;QoS 1
657;Gómez et al.;null;QoS 1
658;Gómez et al.;null;QoS 1
659;Gómez et al.;null;QoS 1
660;Gómez et al.;null;QoS 1
661;Gómez et al.;null;QoS 1
662;Gómez et al.;null;QoS 1
663;Gómez et al.;null;QoS 1
664;Gómez et al.;null;QoS 1
665;Gómez et al.;null;QoS 1
666;Gómez et al.;null;QoS 1
667;Gómez et al.;null;QoS 1
668;Gómez et al.;null;QoS 1
669;Gómez et al.;null;QoS 1
670;Gómez et al.;null;QoS 1
671;Gómez et al.;null;QoS 1
672;Gómez et al.;null;QoS 1
673;Gómez et al.;null;QoS 1
674;Gómez et al.;null;QoS 1
675;Gómez et al.;null;QoS 1
676;Gómez et al.;null;QoS 1
677;Gómez et al.;null;QoS 1
678;Gómez et al.;null;QoS 1
679;Gómez et al.;null;QoS 1
680;Gómez et al.;null;QoS 1
681;Gómez et al.;null;QoS 1
682;Gómez et al.;null;QoS 1
683;Gómez et al.;null;QoS 1
684;Gómez et al.;null;QoS 1
685;Gómez et al.;null;QoS 1
686;Gómez et al.;null;QoS 1
687;Gómez et al.;null;QoS 1
688;Gómez et al.;null;QoS 1
689;Gómez et al.;null;QoS 1
690;Gómez et al.;null;QoS 1
691;Gómez et al.;null;QoS 1
692;Gómez et al.;null;QoS 1
693;Gómez et al.;null;QoS 1
694;Gómez et al.;null;QoS 1
695;Gómez et al.;null;QoS 1
696;Gómez et al.;null;QoS 1
697;Gómez et al.;null;QoS 1
698;Gómez et al.;null;QoS 1
699;Gómez et al.;null;QoS 1
700;Gómez et al.;null;QoS 1
701;Gómez et al.;null;QoS 1
702;Gómez et al.;null;QoS 1
703;Gómez et al.;null;QoS 1
704;Gómez et al.;null;QoS 1
705;Gómez et al.;null;QoS 1
706;Gómez et al.;null;QoS 1
707;Gómez et al.;null;QoS 1
708;Gómez et al.;null;QoS 1
709;Gómez et al.;null;QoS 1
710;Gómez et al.;null;QoS 1
711;Gómez et al.;null;QoS 1
712;Gómez et al.;null;QoS 1
713;Gómez et al.;null;QoS 1
714;Gómez et al.;null;QoS 1
715;Gómez et al.;null;QoS 1
716;Gómez et al.;null;QoS 1
717;Gómez et al.;null;QoS 1
718;Gómez et al.;null;QoS 1
719;Gómez et al.;null;QoS 1
720;Gómez et al.;null;QoS 1
721;Gómez et al.;null;QoS 1
722;Gómez et al.;null;QoS 1
723;Gómez et al.;null;QoS 1
724;Gómez et al.;null;QoS 1
725;Gómez et al.;null;QoS 1
726;Gómez et al.;null;QoS 1
727;Gómez et al.;null;QoS 1
728;Gómez et al.;null;QoS 1
729;Gómez et al.;null;QoS 1
730;Gómez et al.;null;QoS 1
731;Gómez et al.;null;QoS 1
732;Gómez et al.;null;QoS 1
733;Gómez et al.;null;QoS 1
734;Gómez et al.;null;QoS 1
735;Gómez et al.;null;QoS 1
736;Gómez et al.;null;QoS 1
737;Gómez et al.;null;QoS 1
738;Gómez et al.;null;QoS 1
739;Gómez et al.;null;QoS 1
740;Gómez et al.;null;QoS 1
741;Gómez et al.;null;QoS 1
742;Gómez et al.;null;QoS 1
743;Gómez et al.;null;QoS 1
744;Gómez et al.;null;QoS 1
745;Gómez et al.;null;QoS 1
746;Gómez et al.;null;QoS 1
747;Gómez et al.;null;QoS 1
748;Gómez et al.;null;QoS 1
749;Gómez et al.;null;QoS 1
750;Gómez et al.;null;QoS 1
751;Gómez et al.;null;QoS 1
752;Gómez et al.;null;QoS 1
753;Gómez et al.;null;QoS 1
754;Gómez et al.;null;QoS 1
755;Gómez et al.;null;QoS 1
756;Gómez et al.;null;QoS 1
757;Gómez et al.;null;QoS 1
758;Gómez et al.;null;QoS 1
759;Gómez et al.;null;QoS 1
760;Gómez et al.;null;QoS 1
761;Gómez et al.;null;QoS 1
762;Gómez et al.;null;QoS 1
763;Gómez et al.;null;QoS 1
764;Gómez et al.;null;QoS 1
765;Gómez et al.;null;QoS 1
766;Gómez et al.;null;QoS 1
767;Gómez et al.;null;QoS 1
